"chromosome","gene_name","start","end"
"14","MIR208B",23417987,23418063
"14","MIR2392",100814491,100814574
"14","MIR299",101023794,101023856
"14","MIR300",101041363,101041445
"14","MIR3171",27633205,27633278
"14","MIR3171HG",27258717,27845286
"14","MIR3173",95137919,95137986
"14","MIR323A",101025732,101025817
"14","MIR323B",101056219,101056300
"14","MIR329-1",101026785,101026864
"14","MIR329-2",101027100,101027183
"14","MIR337",100874493,100874585
"14","MIR342",100109655,100109753
"14","MIR345",100307859,100307956
"14","MIR369",101065598,101065667
"14","MIR370",100911139,100911213
"14","MIR376A1",101040782,101040849
"14","MIR376A2",101040069,101040148
"14","MIR376B",101040436,101040535
"14","MIR376C",101039690,101039755
"14","MIR377",101062050,101062118
"14","MIR379",101022066,101022132
"14","MIR380",101025017,101025077
"14","MIR381",101045920,101045994
"14","MIR382",101054306,101054381
"14","MIR409",101065300,101065378
"14","MIR410",101065912,101065991
"14","MIR411",101023325,101023420
"14","MIR412",101065447,101065537
"14","MIR4307",26908642,26908725
"14","MIR4307HG",26873092,26918594
"14","MIR4308",54878113,54878193
"14","MIR4309",102539644,102539726
"14","MIR431",100881007,100881120
"14","MIR432",100884483,100884576
"14","MIR433",100881886,100881978
"14","MIR4503",36952309,36952391
"14","MIR4504",50299855,50299946
"14","MIR4505",73758747,73758819
"14","MIR4506",93948226,93948302
"14","MIR4507",105858124,105858175
"14","MIR4537",105859484,105859553
"14","MIR4538",105858165,105858242
"14","MIR4539",105857513,105857572
"14","MIR4706",65044688,65044769
"14","MIR4707",22956950,22957029
"14","MIR4708",65335117,65335183
"14","MIR4709",74480133,74480204
"14","MIR4710",104677694,104677749
"14","MIR485",101055419,101055491
"14","MIR487A",101052446,101052525
"14","MIR487B",101046455,101046538
"14","MIR493",100869060,100869148
"14","MIR493HG",100836269,100955006
"14","MIR494",101029634,101029714
"14","MIR495",101033755,101033836
"14","MIR496",101060573,101060674
"14","MIR5195",106850885,106850999
"14","MIR539",101047321,101047398
"14","MIR541",101064495,101064578
"14","MIR543",101031987,101032064
"14","MIR544A",101048658,101048748
"14","MIR548H1",64095024,64095125
"14","MIR548Y",47760995,47761104
"14","MIR5580",53948427,53948484
"14","MIR5586",59646962,59647020
"14","MIR5694",67441855,67441930
"14","MIR6076",49966399,49966511
"14","MIR624",31014646,31014742
"14","MIR625",65471102,65471186
"14","MIR654",101040219,101040299
"14","MIR655",101049550,101049646
"14","MIR656",101066724,101066801
"14","MIR665",100875033,100875104
"14","MIR668",101055258,101055323
"14","MIR6717",21023314,21023386
"14","MIR6764",100277357,100277417
"14","MIR6765",105150778,105150864
"14","MIR758",101026020,101026107
"14","MIR770",100852390,100852487
"14","MIR7703",24143489,24143565
"14","MIR7843",72516820,72516898
"14","MIR7855",64785626,64785686
"14","MIR8071-1",105621116,105621180
"14","MIR8071-2",105640168,105640232
"14","MIR889",101047901,101047979
"14","MIS18BP1",45203190,45253540
"14","MLH3",75013769,75051532
"14","MMP14",22836560,22849041
"14","MNAT1",60734742,60969965
"14","MOAP1",93182199,93184923
"14","MOK",102224500,102305190
"14","MPPE1P1",89110148,89111223
"14","MRPL52",22829879,22835037
"14","MRPL57P8",35219023,35219283
"14","MTA1",105419820,105470729
"14","MTA1-DT",105416884,105419739
"14","MTCO1P2",32484098,32484800
"14","MTCYBP27",84176419,84177088
"14","MTHFD1",64388031,64463457
"14","MTND4P33",84172841,84173606
"14","MTND5P35",84173791,84175510
"14","MYH6",23381982,23408273
"14","MYH7",23412740,23435660
"14","Metazoa_SRP",34659564,82430156
"14","NAA30",57390544,57415906
"14","NANOGP7",91604402,91605319
"14","NBEAP5",19130636,19155089
"14","NBEAP6",19244904,19269380
"14","NCOA4P1",65879592,65881070
"14","NDRG2",21016763,21070872
"14","NDUFB1",92116122,92121917
"14","NDUFB4P11",103139675,103141959
"14","NDUFB8P1",73631475,73632019
"14","NEDD8",24216857,24232367
"14","NEDD8-MDP1",24213955,24232352
"14","NEK2P1",18889084,18890424
"14","NEK9",75079353,75127344
"14","NEMF",49782083,49852821
"14","NF1P10",18709478,18712643
"14","NF1P11",19612191,19619490
"14","NF1P4",19492281,19501740
"14","NF1P7",18899942,18909673
"14","NFATC4",24365673,24379604
"14","NFKBIA",35401079,35404749
"14","NGB",77265483,77271206
"14","NGDN",23469679,23509862
"14","NID2",52004809,52069059
"14","NIN",50719763,50831162
"14","NKX2-1",36516392,36521149
"14","NKX2-1-AS1",36519278,36523016
"14","NKX2-8",36580004,36582614
"14","NMNAT1P1",81032529,81033404
"14","NOP9",24299850,24309124
"14","NOVA1",26443090,26598033
"14","NOVA1-DT",26598369,26806467
"14","NOXRED1",77394021,77423523
"14","NPAS3",32934396,33820863
"14","NPC2",74476192,74494177
"14","NPM1P20",101843394,101844122
"14","NRDE2",90267860,90331969
"14","NRL",24078662,24115010
"14","NRXN3",78170373,79868291
"14","NT5CP1",73571159,73571667
"14","NT5CP2",73539221,73539781
"14","NUBPL",31489956,31861224
"14","NUBPL-DT",31558507,31561334
"14","NUDT14",105172938,105181323
"14","NUMB",73275107,73458617
"14","NUP50P1",64600243,64601644
"14","NUTF2P2",35819837,35820220
"14","NYNRIN",24399003,24419283
"14","OR10G1P",21601882,21602825
"14","OR10G2",21633836,21634940
"14","OR10G3",21568520,21580076
"14","OR11G1P",20179189,20180156
"14","OR11G2",20190896,20201075
"14","OR11H12",18601117,18602097
"14","OR11H13P",19180291,19181269
"14","OR11H2",19712936,19713883
"14","OR11H4",20239286,20244349
"14","OR11H5P",20209273,20210198
"14","OR11H6",20223710,20224702
"14","OR11H7",20229402,20230346
"14","OR11K2P",19733355,19734302
"14","OR11P1P",20183925,20184298
"14","OR4E1",21667886,21673818
"14","OR4E2",21653835,21667642
"14","OR4H12P",19759868,19760774
"14","OR4K1",19930917,19936757
"14","OR4K13",20029399,20036038
"14","OR4K14",20014143,20019307
"14","OR4K15",19975591,19976565
"14","OR4K16P",19956600,19957568
"14","OR4K17",20110739,20122199
"14","OR4K2",19875142,19883932
"14","OR4K3",19868197,19869143
"14","OR4K4P",19905917,19906600
"14","OR4K5",19920607,19921578
"14","OR4K6P",19847367,19848263
"14","OR4L1",20060045,20060983
"14","OR4M1",19773504,19783696
"14","OR4N1P",19796345,19797293
"14","OR4N2",19719015,19830253
"14","OR4N5",20138820,20145471
"14","OR4Q2",19999913,20004760
"14","OR4Q3",19743571,19749469
"14","OR4T1P",20093353,20094263
"14","OR4U1P",20043916,20044827
"14","OR5AU1",21148370,21159060
"14","OR6E1P",22702143,22703065
"14","OR6J1",22630929,22644352
"14","OR6S1",20640696,20641691
"14","OR7E105P",51756996,51757988
"14","OR7E106P",51763056,51764076
"14","OR7E159P",51771789,51772086
"14","OR7K1P",25357764,25358689
"14","OSGEP",20446401,20455089
"14","OTUB2",94026340,94048930
"14","OTX2",56799905,56816693
"14","OTX2-AS1",56813183,57152177
"14","OXA1L",22766522,22773042
"14","OXA1L-DT",22701476,22766562
"14","PABPN1",23321457,23326163
"14","PACS2",105300563,105398147
"14","PALS1",67240713,67336061
"14","PAPLN",73237497,73274640
"14","PAPLN-AS1",73242651,73245979
"14","PAPOLA",96501433,96567116
"14","PAPOLA-DT",96500810,96502321
"14","PARP1P2",63123007,63123201
"14","PARP2",20343615,20357904
"14","PAX9",36657568,36679362
"14","PCK2",24094053,24110598
"14","PCNX1",70907405,71115382
"14","PCNX4",60091911,60169133
"14","PCNX4-DT",59969116,60091783
"14","PDLIM1P1",50050368,50051336
"14","PEBP1P1",96423700,96424209
"14","PELI2",56117814,56301524
"14","PGF",74941834,74955626
"14","PHKBP2",36533506,36534538
"14","PIGH",67581955,67600286
"14","PIP4P1",20457681,20461465
"14","PLD4",104924713,104937761
"14","PLEK2",67386984,67412167
"14","PLEKHD1",69484692,69531551
"14","PLEKHG3",64704102,64750249
"14","PLEKHH1",67533290,67589612
"14","PNMA1",73711783,73714384
"14","PNN",39175183,39183220
"14","PNN-AS1",39174885,39175880
"14","PNP",20461992,20477094
"14","POLE2",49643555,49688422
"14","POLR3GP1",91603173,91603433
"14","POMT2",77274956,77320883
"14","POTEG",19402486,19434341
"14","POTEM",18967434,19003752
"14","PPIAP4",39108342,39108707
"14","PPIAP5",59181593,59181940
"14","PPIAP6",68421698,68422196
"14","PPM1A",60245752,60299087
"14","PPP1R13B",103733195,103847575
"14","PPP1R13B-DT",103847721,103858049
"14","PPP1R36",64549920,64589381
"14","PPP1R3E",23295652,23302859
"14","PPP2R3C",35085467,35122517
"14","PPP2R5C",101761709,101927989
"14","PPP2R5E",63371364,63543377
"14","PPP4R3A",91457508,91510554
"14","PPP4R4",94146128,94279734
"14","PRIMA1",93718298,93788485
"14","PRKCH",61187559,61550976
"14","PRKCH-AS1",61294909,61322838
"14","PRKD1",29576479,30191898
"14","PRMT5",22920525,22929408
"14","PRMT5-AS1",22918947,22926900
"14","PRMT5-DT",22929607,22956436
"14","PRORP",35121846,35277622
"14","PROX2",74852871,74876154
"14","PRPF39",45084107,45116282
"14","PRPF39-DT",45083045,45083977
"14","PSEN1",73136418,73223691
"14","PSMA3",58244843,58272012
"14","PSMA3-AS1",58265365,58298134
"14","PSMA3P1",60179382,60180016
"14","PSMA6",35278633,35317493
"14","PSMB11",23042212,23044060
"14","PSMB5",23016543,23035230
"14","PSMB7P1",20149232,20149745
"14","PSMC1",90256527,90275429
"14","PSMC6",52707178,52728590
"14","PSME1",24136163,24138967
"14","PSME2",24143362,24147570
"14","PTBP1P",65279267,65281166
"14","PTCD2P1",20524287,20525422
"14","PTCSC3",36130677,36217284
"14","PTGDR",52267698,52276724
"14","PTGER2",52314305,52328598
"14","PTGR2",73851831,73885726
"14","PTPN21",88465778,88555007
"14","PTTG4P",71085482,71085833
"14","PYGL",50857891,50944483
"14","QRSL1P3",35765795,35767110
"14","RAB15",64945814,64973226
"14","RAB2B",21459020,21476960
"14","RAB42P1",89892128,89892443
"14","RABGGTA",24265538,24271611
"14","RAD51B",67819779,68730218
"14","RALGAPA1",35538352,35809304
"14","RANBP20P",20720742,20723127
"14","RAP1AP",74482985,74483435
"14","RAP2CP1",103279223,103279955
"14","RBBP4P5",21563819,21565084
"14","RBM23",22893204,22919182
"14","RBM25",73058532,73123899
"14","RBM25-AS1",73057925,73059415
"14","RBM8B",60397757,60398281
"14","RCOR1",102592649,102730561
"14","RD3L",103940426,103942561
"14","RDH11",67676800,67695793
"14","RDH12",67701886,67734451
"14","REC8",24171853,24180257
"14","REM2",22883222,22887678
"14","RGS6",71932429,72566530
"14","RHOJ",63204114,63293508
"14","RHOQP1",49599994,49600572
"14","RIN3",92513781,92688994
"14","RIOX1",73490933,73493394
"14","RIPK3",24336025,24340022
"14","RN7SKP107",89621918,89622207
"14","RN7SKP108",96638187,96638514
"14","RN7SKP17",76890263,76890613
"14","RN7SKP193",50068568,50068873
"14","RN7SKP205",23791930,23792236
"14","RN7SKP21",36231555,36231774
"14","RN7SKP255",89712511,89712823
"14","RN7SKP257",36593839,36594147
"14","RN7SKP92",100487544,100487787
"14","RN7SKP99",57837354,57837660
"14","RN7SL1",49586580,49586878
"14","RN7SL108P",68236243,68236539
"14","RN7SL189P",20963579,20963867
"14","RN7SL2",49862550,49862849
"14","RN7SL213P",67751228,67751544
"14","RN7SL3",49853616,49853914
"14","RN7SL356P",76967518,76967765
"14","RN7SL369P",67705954,67706252
"14","RN7SL452P",50637691,50637981
"14","RN7SL461P",56824375,56824656
"14","RN7SL472P",102077180,102077472
"14","RN7SL523P",100319073,100319370
"14","RN7SL530P",74174456,74174753
"14","RN7SL546P",102582888,102583177
"14","RN7SL586P",73040619,73040914
"14","RN7SL587P",77547566,77547846
"14","RN7SL598P",58179771,58180064
"14","RN7SL634P",104013642,104013933
"14","RN7SL650P",21429508,21429806
"14","RN7SL660P",32442341,32442639
"14","RN7SL683P",71448689,71448958
"14","RN7SL706P",68149617,68149908
"14","RN7SL714P",98351367,98351664
"14","RN7SL77P",70610086,70610379
"14","RNA5SP380",20090130,20090227
"14","RNA5SP382",20414987,20415098
"14","RNA5SP383",24158603,24158722
"14","RNA5SP384",49552633,49552748
"14","RNA5SP385",51692752,51692861
"14","RNA5SP386",67657105,67657211
"14","RNA5SP387",75604173,75604278
"14","RNA5SP388",78177803,78177921
"14","RNA5SP389",106636672,106636786
"14","RNASE1",20801228,20802855
"14","RNASE10",20505537,20513884
"14","RNASE11",20582892,20609884
"14","RNASE11-AS1",20587644,20607221
"14","RNASE12",20590073,20591376
"14","RNASE13",21032818,21034807
"14","RNASE2",20955487,20956436
"14","RNASE2CP",20919290,20920303
"14","RNASE3",20891385,20892348
"14","RNASE4",20684560,20701216
"14","RNASE6",20781268,20782467
"14","RNASE7",21042316,21044234
"14","RNASE8",21057822,21058455
"14","RNASE9",20556093,20560931
"14","RNF212B",23185316,23273477
"14","RNF31",24146683,24160660
"14","RNU1-27P",34546714,34546877
"14","RNU1-28P",34556226,34556389
"14","RNU1-47P",99945315,99945477
"14","RNU11-5P",29476784,29476912
"14","RNU2-14P",65124352,65124542
"14","RNU2-33P",96384624,96384815
"14","RNU2-51P",70360892,70361088
"14","RNU4-22P",88513498,88513663
"14","RNU4-68P",103567405,103567545
"14","RNU4-92P",88820297,88820432
"14","RNU4ATAC14P",75202081,75202169
"14","RNU6-1046P",23259460,23259566
"14","RNU6-1138P",23156309,23156414
"14","RNU6-1162P",63630678,63630781
"14","RNU6-1204P",56824986,56825092
"14","RNU6-1234P",29811916,29812018
"14","RNU6-1239P",18978847,18978953
"14","RNU6-1258P",93437400,93437510
"14","RNU6-1261P",34675891,34675994
"14","RNU6-1268P",19422815,19422921
"14","RNU6-1277P",37827798,37827904
"14","RNU6-1291P",51522864,51522967
"14","RNU6-1316P",102865856,102865963
"14","RNU6-189P",49901850,49901950
"14","RNU6-240P",73659564,73659660
"14","RNU6-244P",102501676,102501779
"14","RNU6-252P",21113639,21113745
"14","RNU6-273P",37187219,37187314
"14","RNU6-297P",48341226,48341332
"14","RNU6-301P",51724103,51724209
"14","RNU6-341P",58292293,58292388
"14","RNU6-366P",92265702,92265807
"14","RNU6-398P",60974327,60974435
"14","RNU6-419P",73246818,73246880
"14","RNU6-455P",31686692,31686798
"14","RNU6-458P",18343038,18343144
"14","RNU6-539P",49839725,49839827
"14","RNU6-541P",31142939,31143048
"14","RNU6-552P",45274359,45274477
"14","RNU6-597P",63618043,63618144
"14","RNU6-602P",31662039,31662143
"14","RNU6-659P",70496107,70496210
"14","RNU6-684P",104400943,104401048
"14","RNU6-689P",75020761,75020867
"14","RNU6-7",32202045,32202151
"14","RNU6-790P",101803227,101803331
"14","RNU6-8",32203163,32203269
"14","RNU6-835P",87996345,87996448
"14","RNU6-864P",28982303,28982410
"14","RNU6-886P",37434469,37434573
"14","RNU6-91P",99444306,99444412
"14","RNU6-921P",68735922,68736028
"14","RNU6-976P",84739942,84740052
"14","RNU6ATAC28P",83750384,83750501
"14","RNU6ATAC30P",49684544,49684665
"14","RNU6ATAC9P",54859215,54859330
"14","RNU7-116P",63736444,63736505
"14","RNU7-160P",103550345,103550406
"14","RNU7-30P",91091077,91091138
"14","RNU7-41P",34845300,34845360
"14","RNU7-51P",83048579,83048640
"14","RNU7-93P",36405214,36405274
"14","RPA2P1",46996454,46997174
"14","RPGRIP1",21280083,21351301
"14","RPL10AP1",103412119,103412761
"14","RPL10L",46651010,46651781
"14","RPL12P5",30791098,30791489
"14","RPL12P6",34740336,34740833
"14","RPL12P7",68693090,68693583
"14","RPL13AP2",47200575,47201104
"14","RPL13AP3",55766177,55767717
"14","RPL13P6",103041469,103042094
"14","RPL15P2",94800849,94801463
"14","RPL17P2",60212462,60212912
"14","RPL17P3",81001166,81001786
"14","RPL17P4",103282933,103283468
"14","RPL18P1",48489883,48490434
"14","RPL21P10",77683202,77683989
"14","RPL21P11",90366697,90367179
"14","RPL21P12",103148597,103149408
"14","RPL21P13",103241492,103241972
"14","RPL21P5",31111569,31112239
"14","RPL21P6",55413556,55414059
"14","RPL21P7",65266638,65267690
"14","RPL21P8",65467807,65468341
"14","RPL21P9",67714545,67715204
"14","RPL22P2",76886377,76886750
"14","RPL22P20",18692032,18692408
"14","RPL23AP10",96456576,96457041
"14","RPL23AP11",102662240,102662708
"14","RPL23AP70",35144021,35144480
"14","RPL23AP71",34485979,34486447
"14","RPL23AP8",34694170,34694644
"14","RPL26P3",28489910,28490362
"14","RPL29P3",36577543,36578005
"14","RPL31P4",58794654,58795029
"14","RPL31P5",63567958,63568308
"14","RPL32P29",49577392,49577794
"14","RPL36AL",49618530,49620626
"14","RPL36AP1",56683421,56683741
"14","RPL36AP2",65268829,65269098
"14","RPL36AP4",93244010,93244323
"14","RPL36P3",72929612,72929930
"14","RPL3P3",56978409,56979621
"14","RPL3P4",98972879,98973301
"14","RPL4P1",21750269,21751546
"14","RPL7AP2",39156742,39157852
"14","RPL7AP3",35235180,35235651
"14","RPL7AP4",55543401,55544169
"14","RPL7AP5",68338728,68339528
"14","RPL7AP6",69885340,69886140
"14","RPL9P3",35262462,35263036
"14","RPL9P5",58564146,58564616
"14","RPL9P6",81777016,81777613
"14","RPLP0P3",35388121,35389069
"14","RPPH1",20343075,20343407
"14","RPPH1-2P",64909488,64909780
"14","RPS15AP3",47444106,47444494
"14","RPS19P3",34568689,34569129
"14","RPS20P33",105374618,105374971
"14","RPS26P48",78231281,78231619
"14","RPS26P49",104830838,104831171
"14","RPS28P1",63808546,63808732
"14","RPS29",49570984,49599164
"14","RPS29P1",69023150,69023308
"14","RPS2P2",74377818,74378418
"14","RPS2P4",104835997,104836852
"14","RPS3AP4",35468272,35469330
"14","RPS3AP46",53612724,53613405
"14","RPS6KA5",90847861,91060641
"14","RPS6KL1",74903951,74923302
"14","RPSAP13",55004813,55005687
"14","RPSAP3",76634775,76635661
"14","RPSAP4",94726288,94727175
"14","RPSAP5",103374033,103374916
"14","RRAGAP1",44888556,44889041
"14","RRAGAP1-AS1",44876874,44897077
"14","RTL1",100879753,100903722
"14","RTN1",59595976,59870776
"14","RTRAF",51989514,52010694
"14","SALL2",21521080,21537216
"14","SALL4P7",60493766,60496885
"14","SALRNA1",60639216,60642589
"14","SAMD15",77376689,77392163
"14","SAMD4A",54566117,54793315
"14","SAMD4A-AS1",54684026,54729324
"14","SAV1",50632058,50668306
"14","SCARNA13",95533355,95533629
"14","SCFD1",30622291,30737694
"14","SCOCP1",60158976,60159324
"14","SDR39U1",24439766,24442905
"14","SEC23A",39031919,39109646
"14","SEC23A-AS1",39103140,39103812
"14","SEL1L",81471547,81533853
"14","SEPTIN7P1",35157904,35159099
"14","SERPINA1",94376747,94390693
"14","SERPINA10",94280460,94293268
"14","SERPINA11",94442464,94452800
"14","SERPINA12",94487274,94517844
"14","SERPINA13P",94640725,94646994
"14","SERPINA2",94364316,94366698
"14","SERPINA3",94612384,94624055
"14","SERPINA4",94561442,94569913
"14","SERPINA5",94561442,94593118
"14","SERPINA6",94304248,94323389
"14","SERPINA9",94462717,94479689
"14","SERTAD4BP",62117346,62130962
"14","SETD3",99397748,99480889
"14","SETP1",20528115,20528959
"14","SETP2",51436038,51436963
"14","SF3B4P1",67199062,67200327
"14","SFTA3",36473207,36521149
"14","SGPP1",63684216,63728065
"14","SHLD2P2",87952527,87955203
"14","SIPA1L1",71320449,71741229
"14","SIPA1L1-AS1",71292729,71321882
"14","SIVA1",104753147,104768494
"14","SIX1",60643421,60658259
"14","SIX4",60709539,60724351
"14","SIX6",60509146,60512850
"14","SLC10A1",69775416,69797241
"14","SLC20A1P1",106683395,106684350
"14","SLC20A1P2",106179554,106180519
"14","SLC22A17",23346314,23352912
"14","SLC24A4",92322581,92501481
"14","SLC25A21",36677921,37172606
"14","SLC25A21-AS1",37171888,37173811
"14","SLC25A29",100291116,100306547
"14","SLC25A47",100323339,100330421
"14","SLC35F4",57563920,57982194
"14","SLC38A6",60981114,61114316
"14","SLC39A2",20999255,21001871
"14","SLC39A9",69398015,69462390
"14","SLC7A7",22773222,22829820
"14","SLC7A8",23125295,23183674
"14","SLC8A3",70044215,70189480
"14","SLIRP",77708071,77761104
"14","SMARCE1P3",21162513,21163743
"14","SMOC1",69854131,70032366
"14","SNAPC1",61762420,61796428
"14","SNHG10",95521943,95534889
"14","SNORA11B",91126425,91126553
"14","SNORA28",103337849,103337974
"14","SNORA70",51244090,51244224
"14","SNORA79",81202695,81202834
"14","SNORA79B",20323179,20323326
"14","SNORD112",100897920,100897996
"14","SNORD113-1",100924824,100924892
"14","SNORD113-2",100927342,100927413
"14","SNORD113-3",100929919,100929990
"14","SNORD113-4",100936491,100936565
"14","SNORD113-5",100938187,100938264
"14","SNORD113-6",100939556,100939630
"14","SNORD113-7",100941126,100941202
"14","SNORD113-8",100943451,100943524
"14","SNORD113-9",100945649,100945720
"14","SNORD114-1",100949833,100949904
"14","SNORD114-10",100967052,100967123
"14","SNORD114-11",100968111,100968185
"14","SNORD114-12",100968948,100969022
"14","SNORD114-13",100969879,100969952
"14","SNORD114-14",100972103,100972177
"14","SNORD114-15",100972670,100972741
"14","SNORD114-16",100973595,100973664
"14","SNORD114-17",100974806,100974880
"14","SNORD114-18",100975825,100975896
"14","SNORD114-19",100976477,100976551
"14","SNORD114-2",100951856,100951933
"14","SNORD114-20",100981004,100981075
"14","SNORD114-21",100981975,100982046
"14","SNORD114-22",100982926,100982997
"14","SNORD114-23",100983876,100983947
"14","SNORD114-24",100984777,100984848
"14","SNORD114-25",100986057,100986128
"14","SNORD114-26",100987046,100987117
"14","SNORD114-27",100988161,100988230
"14","SNORD114-28",100989130,100989201
"14","SNORD114-29",100990091,100990160
"14","SNORD114-3",100953349,100953423
"14","SNORD114-30",100991919,100991990
"14","SNORD114-31",100993236,100993310
"14","SNORD114-4",100954374,100954448
"14","SNORD114-5",100955370,100955439
"14","SNORD114-6",100957166,100957237
"14","SNORD114-7",100963054,100963130
"14","SNORD114-9",100966029,100966100
"14","SNORD126",20326450,20326526
"14","SNORD127",45110883,45110968
"14","SNORD56B",71398337,71398407
"14","SNORD58",45088243,45088308
"14","SNORD8",21397292,21397401
"14","SNORD9",21392150,21392253
"14","SNRPGP1",50571919,50572140
"14","SNW1",77717599,77761207
"14","SNX6",34561093,34630160
"14","SOCS4",55027230,55049489
"14","SOS2",50117130,50231578
"14","SPATA7",88384924,88470350
"14","SPTB",64746283,64879907
"14","SPTLC2",77505997,77616637
"14","SPTSSA",34432788,34462240
"14","SRMP2",60919240,60920155
"14","SRP54",34981957,35029686
"14","SRP54-AS1",34911580,34982912
"14","SRSF5",69726900,69772005
"14","SSTR1",38207904,38213067
"14","STK16P1",49677369,49677893
"14","STON2",81260652,81436465
"14","STRN3",30893799,31026401
"14","STXBP6",24809454,25050147
"14","STYX",52730166,52774989
"14","SUB1P2",74305425,74306527
"14","SUPT16H",21351476,21384019
"14","SUSD6",69611596,69715144
"14","SYF2P1",30541776,30542188
"14","SYNDIG1L",74405894,74426210
"14","SYNE2",63761899,64226433
"14","SYNE3",95407266,95516650
"14","SYNJ2BP",70366499,70417090
"14","SYNJ2BP-COX16",70326064,70417074
"14","SYT16",61811974,62112550
"14","TBPL2",55414210,55456726
"14","TC2N",91779746,91867536
"14","TCL1A",95709947,95714196
"14","TCL1B",95686426,95692628
"14","TCL6",95650498,95679833
"14","TDP1",89954939,90044764
"14","TDRD9",103928456,104052667
"14","TECPR2",102362941,102502477
"14","TEDC1",105489855,105499575
"14","TEP1",20365667,20413501
"14","TEX21P",64341673,64387986
"14","TEX22",105398538,105450106
"14","TGFB3",75958097,75983011
"14","TGFB3-AS1",75970924,75971587
"14","TGM1",24249114,24264432
"14","THTPA",23555988,23560271
"14","TIMM9",58408495,58427531
"14","TINF2",24238286,24242663
"14","TM9SF1",24189149,24195687
"14","TMED10",75131469,75176612
"14","TMED8",77335029,77377094
"14","TMEM121",105526583,105530198
"14","TMEM179",104474678,104605647
"14","TMEM183AP4",70858844,70859429
"14","TMEM229B",67447084,67533739
"14","TMEM253",21098811,21103724
"14","TMEM260",56488354,56650606
"14","TMEM30B",61277370,61281761
"14","TMEM63C",77116568,77259495
"14","TMX1",51240162,51257655
"14","TNFAIP2",103121476,103137439
"14","TOGARAM1",44962190,45074431
"14","TOMM20L",58395928,58408702
"14","TOMM20L-DT",58370023,58395641
"14","TOMM40P1",19267115,19268164
"14","TOX4",21476597,21499175
"14","TPPP2",21024109,21036276
"14","TRAC",22547506,22552156
"14","TRAF3",102777449,102911500
"14","TRAJ1",22545037,22545098
"14","TRAJ10",22533497,22533560
"14","TRAJ11",22532502,22532561
"14","TRAJ12",22531939,22531998
"14","TRAJ13",22531076,22531138
"14","TRAJ14",22530327,22530378
"14","TRAJ16",22528527,22528586
"14","TRAJ17",22526844,22526906
"14","TRAJ18",22525650,22525715
"14","TRAJ19",22525263,22525322
"14","TRAJ2",22544071,22544136
"14","TRAJ20",22524325,22524381
"14","TRAJ21",22523600,22523654
"14","TRAJ22",22522040,22522102
"14","TRAJ23",22520416,22520478
"14","TRAJ24",22519969,22520031
"14","TRAJ25",22518812,22518871
"14","TRAJ26",22518446,22518505
"14","TRAJ27",22516273,22516331
"14","TRAJ28",22515623,22515688
"14","TRAJ29",22513939,22513998
"14","TRAJ3",22543179,22543240
"14","TRAJ30",22512852,22512908
"14","TRAJ31",22510968,22511024
"14","TRAJ32",22509341,22509406
"14","TRAJ33",22508602,22508658
"14","TRAJ34",22507666,22507723
"14","TRAJ35",22506644,22506702
"14","TRAJ36",22505110,22505167
"14","TRAJ37",22503750,22503814
"14","TRAJ38",22502231,22502292
"14","TRAJ39",22501601,22501663
"14","TRAJ4",22542199,22542261
"14","TRAJ40",22499689,22499749
"14","TRAJ41",22497657,22497718
"14","TRAJ42",22496887,22496952
"14","TRAJ43",22495913,22495966
"14","TRAJ44",22494821,22494883
"14","TRAJ45",22493925,22493990
"14","TRAJ46",22493403,22493465
"14","TRAJ47",22492851,22492907
"14","TRAJ48",22490491,22490553
"14","TRAJ49",22489488,22489543
"14","TRAJ5",22540247,22540306
"14","TRAJ50",22488593,22488652
"14","TRAJ51",22487183,22487245
"14","TRAJ52",22486228,22486296
"14","TRAJ53",22483004,22483069
"14","TRAJ54",22482287,22482346
"14","TRAJ55",22481697,22481753
"14","TRAJ56",22479521,22479582
"14","TRAJ57",22478872,22478934
"14","TRAJ58",22477707,22477769
"14","TRAJ59",22476553,22476606
"14","TRAJ6",22539073,22539134
"14","TRAJ60",22476306,22476362
"14","TRAJ61",22475316,22475375
"14","TRAJ7",22537622,22537680
"14","TRAJ8",22536145,22536204
"14","TRAJ9",22535554,22535614
"14","TRAPPC6B",39147811,39170532
"14","TRAV1-1",21621838,21622567
"14","TRAV1-2",21642889,21643578
"14","TRAV10",21825472,21826075
"14","TRAV11",21829539,21830070
"14","TRAV12-1",21841240,21841774
"14","TRAV12-2",21887857,21888502
"14","TRAV12-3",21965451,21966061
"14","TRAV13-1",21868839,21869365
"14","TRAV13-2",21918188,21918756
"14","TRAV14DV4",21924063,21924651
"14","TRAV15",21950406,21950654
"14","TRAV16",21990496,21990938
"14","TRAV17",21997539,21998168
"14","TRAV18",22003106,22003673
"14","TRAV19",22007512,22008181
"14","TRAV2",21712321,21712843
"14","TRAV20",22040594,22041153
"14","TRAV21",22052514,22053056
"14","TRAV22",22070557,22071208
"14","TRAV23DV6",22086407,22086961
"14","TRAV24",22105343,22105846
"14","TRAV25",22112347,22113031
"14","TRAV26-1",22123318,22124285
"14","TRAV26-2",22202583,22203368
"14","TRAV27",22147995,22148633
"14","TRAV28",22155079,22155638
"14","TRAV29DV5",22163238,22163870
"14","TRAV3",21723713,21724321
"14","TRAV30",22168429,22168988
"14","TRAV31",22177273,22177864
"14","TRAV32",22185562,22186057
